phrase	description
Ridiculous Science Thingy	<Free Space Description>
Time Travel	
Made-up terminology	
Chosen One	
Impossible Physics	
Sentient Robots	
Future	
Dystopian	
Super Powers	
Weapons that don't exist	
Lasers	
Hover Cars	
Interspecies Pregnancy	
Strange ?????	
Evil Red Lights	
Oversized Animals	
Space	
Late Tech Intervention	
Uniforms	
Spandex/Unitards	
Monotone Character	
Disembodied Robot Voice	
Mutation	
Neon Hair	
Cybernetics	
David vs. Goliath Rivalry	
Robots	
Androids	
Interstellar Travel	
Parallel Universe	
Alien Invasion	
Immortality	
Post Apocalyptic	
Godlike Being	
AI turns against creators	
Last Humans Alive	
Lone Misfit	
Wormhole	
Clones	
Last Saving Option is Destroyed	
Shields	
Improbable Saves	
Tentacles	
Equipment Failure	
Crazy Scientist	
Slow-mo Action	
Comic Relief	
Strange Colored Foliage	
Romantic Interest	
Interspecies Love	
Fleeing	
